model,L_um,Vds,Vbs,gm_id,Vgs,Id_W_A_per_m,ft_Hz,gain_V_V
nch_18_mac,0.1800,1.800,0.000,20,0.4643,2.452920e+00,9.559677e+09,46.91
nch_18_mac,0.1800,1.800,0.000,25,0.3678,2.727696e-01,1.700428e+09,46.98
nch_18_mac,0.1800,1.800,-0.300,5,0.8281,8.393618e+01,4.895722e+10,34.58
nch_18_mac,0.1800,1.800,-0.300,8,0.6985,3.698674e+01,3.743316e+10,38.81
nch_18_mac,0.1800,1.800,-0.300,10,0.6469,2.333988e+01,3.144237e+10,40.70
nch_18_mac,0.1800,1.800,-0.300,12,0.6082,1.526792e+01,2.638913e+10,42.27
nch_18_mac,0.1800,1.800,-0.300,15,0.5620,8.214616e+00,1.972189e+10,44.04
nch_18_mac,0.1800,1.800,-0.300,18,0.5212,4.190619e+00,1.360587e+10,45.14
nch_18_mac,0.1800,1.800,-0.300,20,0.4935,2.482300e+00,9.810222e+09,45.57
nch_18_mac,0.1800,1.800,-0.300,25,0.4022,3.109676e-01,1.980580e+09,45.70
nch_18_mac,0.2400,0.100,0.000,5,0.7494,2.268517e+01,9.703124e+09,0.71
nch_18_mac,0.2400,0.100,0.000,8,0.6545,1.246081e+01,9.595378e+09,1.40
nch_18_mac,0.2400,0.100,0.000,10,0.6163,8.858445e+00,9.097637e+09,2.05
nch_18_mac,0.2400,0.100,0.000,12,0.5868,6.412409e+00,8.392818e+09,2.91
nch_18_mac,0.2400,0.100,0.000,15,0.5504,3.924952e+00,7.040685e+09,4.68
nch_18_mac,0.2400,0.100,0.000,18,0.5173,2.277296e+00,5.412738e+09,7.02
nch_18_mac,0.2400,0.100,0.000,20,0.4943,1.475405e+00,4.222207e+09,8.80
nch_18_mac,0.2400,0.100,0.000,25,0.4140,2.373181e-01,1.170136e+09,13.10
nch_18_mac,0.2400,0.100,-0.300,5,0.7815,2.267244e+01,9.713546e+09,0.72
nch_18_mac,0.2400,0.100,-0.300,8,0.6867,1.245583e+01,9.619839e+09,1.41
nch_18_mac,0.2400,0.100,-0.300,10,0.6483,8.837383e+00,9.120377e+09,2.06
nch_18_mac,0.2400,0.100,-0.300,12,0.6186,6.383940e+00,8.413823e+09,2.92
nch_18_mac,0.2400,0.100,-0.300,15,0.5820,3.906819e+00,7.065691e+09,4.70
nch_18_mac,0.2400,0.100,-0.300,18,0.5490,2.265670e+00,5.464369e+09,7.02
nch_18_mac,0.2400,0.100,-0.300,20,0.5264,1.478680e+00,4.300283e+09,8.77
nch_18_mac,0.2400,0.100,-0.300,25,0.4506,2.629100e-01,1.320372e+09,12.98
nch_18_mac,0.2400,0.200,0.000,5,0.7899,4.132078e+01,1.840408e+10,2.37
nch_18_mac,0.2400,0.200,0.000,8,0.6860,2.136457e+01,1.643208e+10,6.04
nch_18_mac,0.2400,0.200,0.000,10,0.6394,1.406826e+01,1.428400e+10,9.15
nch_18_mac,0.2400,0.200,0.000,12,0.6026,9.407295e+00,1.213536e+10,12.06
nch_18_mac,0.2400,0.200,0.000,15,0.5586,5.208325e+00,9.228466e+09,15.71
nch_18_mac,0.2400,0.200,0.000,18,0.5211,2.806554e+00,6.634869e+09,18.60
nch_18_mac,0.2400,0.200,0.000,20,0.4963,1.755825e+00,5.009419e+09,20.15
nch_18_mac,0.2400,0.200,0.000,25,0.4128,2.633558e-01,1.304271e+09,22.83
nch_18_mac,0.2400,0.200,-0.300,5,0.8220,4.128185e+01,1.841208e+10,2.37
nch_18_mac,0.2400,0.200,-0.300,8,0.7182,2.135109e+01,1.646391e+10,6.04
nch_18_mac,0.2400,0.200,-0.300,10,0.6714,1.403955e+01,1.429816e+10,9.13
nch_18_mac,0.2400,0.200,-0.300,12,0.6343,9.361720e+00,1.213539e+10,12.01
nch_18_mac,0.2400,0.200,-0.300,15,0.5901,5.159805e+00,9.233929e+09,15.62
nch_18_mac,0.2400,0.200,-0.300,18,0.5527,2.793102e+00,6.682038e+09,18.45
nch_18_mac,0.2400,0.200,-0.300,20,0.5283,1.755948e+00,5.094009e+09,19.98
nch_18_mac,0.2400,0.200,-0.300,25,0.4494,2.924433e-01,1.474697e+09,22.69
nch_18_mac,0.2400,0.300,0.000,5,0.8147,5.346031e+01,2.399770e+10,6.00
nch_18_mac,0.2400,0.300,0.000,8,0.6931,2.471696e+01,1.902424e+10,12.31
nch_18_mac,0.2400,0.300,0.000,10,0.6418,1.562206e+01,1.587104e+10,15.71
nch_18_mac,0.2400,0.300,0.000,12,0.6029,1.021539e+01,1.320399e+10,18.50
nch_18_mac,0.2400,0.300,0.000,15,0.5577,5.563939e+00,9.888981e+09,21.82
nch_18_mac,0.2400,0.300,0.000,18,0.5195,2.963344e+00,7.047252e+09,24.35
nch_18_mac,0.2400,0.300,0.000,20,0.4943,1.843169e+00,5.293708e+09,25.64
nch_18_mac,0.2400,0.300,0.000,25,0.4104,2.722029e-01,1.361982e+09,27.68
nch_18_mac,0.2400,0.300,-0.300,5,0.8466,5.335851e+01,2.399264e+10,6.00
nch_18_mac,0.2400,0.300,-0.300,8,0.7252,2.470413e+01,1.905272e+10,12.25
nch_18_mac,0.2400,0.300,-0.300,10,0.6737,1.558844e+01,1.588226e+10,15.61
nch_18_mac,0.2400,0.300,-0.300,12,0.6346,1.016212e+01,1.320009e+10,18.35
nch_18_mac,0.2400,0.300,-0.300,15,0.5891,5.512522e+00,9.894217e+09,21.62
nch_18_mac,0.2400,0.300,-0.300,18,0.5511,2.948347e+00,7.099797e+09,24.11
nch_18_mac,0.2400,0.300,-0.300,20,0.5263,1.846615e+00,5.388096e+09,25.40
nch_18_mac,0.2400,0.300,-0.300,25,0.4469,3.046053e-01,1.545476e+09,27.52
nch_18_mac,0.2400,0.400,0.000,5,0.8219,5.899255e+01,2.655671e+10,10.34
nch_18_mac,0.2400,0.400,0.000,8,0.6933,2.615668e+01,2.016474e+10,17.30
nch_18_mac,0.2400,0.400,0.000,10,0.6409,1.636056e+01,1.666441e+10,20.72
nch_18_mac,0.2400,0.400,0.000,12,0.6016,1.063869e+01,1.380137e+10,23.46
nch_18_mac,0.2400,0.400,0.000,15,0.5560,5.773374e+00,1.030276e+10,26.66
nch_18_mac,0.2400,0.400,0.000,18,0.5175,3.063136e+00,7.321092e+09,29.02
nch_18_mac,0.2400,0.400,0.000,20,0.4921,1.892182e+00,5.483585e+09,30.16
nch_18_mac,0.2400,0.400,0.000,25,0.4079,2.788353e-01,1.406714e+09,31.81
nch_18_mac,0.2400,0.400,-0.300,5,0.8537,5.887116e+01,2.654180e+10,10.31
nch_18_mac,0.2400,0.400,-0.300,8,0.7254,2.613877e+01,2.019207e+10,17.19
